R,Homepage.1,1571898134440,258,false,1002,23141,200,https://production-test-kendrascott.demandware.net/s/KendraScott/,text/html,30,72,0,187,70,257,,,,,0,,
R,Homepage.2,1571898134712,72,false,1108,578,200,https://production-test-kendrascott.demandware.net/on/demandware.store/Sites-KendraScott-Site/en_US/ltkActivityTracking-ClearTracker,text/html,0,0,72,0,72,72,,,,,0,,
R,Homepage.3,1571898134875,67,false,1497,538,200,https://production-test-kendrascott.demandware.net/on/demandware.store/Sites-KendraScott-Site/en_US/__Analytics-Start?url=https%3A%2F%2Fproduction-test-kendrascott.demandware.net%2Fs%2FKendraScott%2F&res=1600x1200&cookie=1&cmpn=&java=0&gears=0&fla=0&ag=0&dir=0&pct=0&pdf=0&qt=0&realp=0&tz=US%2FEastern&wma=1&dwac=0.7869769714444649&pcat=new-arrivals&title=Kendra+Scott+%7C+Shop+Jewelry+for+Women%2C+Home+D%C3%A9cor+and+Beauty&fake=497733972514&ref=https%3A%2F%2Fproduction-test-kendrascott.demandware.net%2Fs%2FKendraScott%2F,image/gif,0,0,67,0,67,67,,,,,0,,
A,Homepage,1571898134440,502,false
R,SelectTopCategory.1,1571898139082,163,false,1073,19228,200,https://production-test-kendrascott.demandware.net/wedding-jewelry.html,text/html,0,0,160,1,160,161,,,,,0,,
R,SelectTopCategory.3,1571898139259,72,false,1114,578,200,https://production-test-kendrascott.demandware.net/on/demandware.store/Sites-KendraScott-Site/en_US/ltkActivityTracking-ClearTracker,text/html,0,0,72,0,72,72,,,,,0,,
R,SelectTopCategory.4,1571898139441,103,false,1493,538,200,https://production-test-kendrascott.demandware.net/on/demandware.store/Sites-KendraScott-Site/en_US/__Analytics-Start?url=https%3A%2F%2Fproduction-test-kendrascott.demandware.net%2Fwedding-jewelry.html&res=1600x1200&cookie=1&cmpn=&java=0&gears=0&fla=0&ag=0&dir=0&pct=0&pdf=0&qt=0&realp=0&tz=US%2FEastern&wma=1&dwac=0.7869769714444649&pcat=new-arrivals&title=Wedding+Jewelry+%7C+Wedding+Collection+%7C+Kendra+Scott&fake=502282082793&ref=https%3A%2F%2Fproduction-test-kendrascott.demandware.net%2Fwedding-jewelry.html,image/gif,0,0,103,0,103,103,,,,,0,,
A,SelectTopCategory,1571898139074,470,false
R,SelectTopCategory.1,1571898143602,183,false,1079,19112,200,https://production-test-kendrascott.demandware.net/wedding-jewelry.html,text/html,0,0,180,1,180,181,,,,,0,,
R,SelectTopCategory.3,1571898143800,81,false,1114,578,200,https://production-test-kendrascott.demandware.net/on/demandware.store/Sites-KendraScott-Site/en_US/ltkActivityTracking-ClearTracker,text/html,0,0,80,0,80,80,,,,,0,,
R,SelectTopCategory.4,1571898143991,66,false,1493,538,200,https://production-test-kendrascott.demandware.net/on/demandware.store/Sites-KendraScott-Site/en_US/__Analytics-Start?url=https%3A%2F%2Fproduction-test-kendrascott.demandware.net%2Fwedding-jewelry.html&res=1600x1200&cookie=1&cmpn=&java=0&gears=0&fla=0&ag=0&dir=0&pct=0&pdf=0&qt=0&realp=0&tz=US%2FEastern&wma=1&dwac=0.7869769714444649&pcat=new-arrivals&title=Wedding+Jewelry+%7C+Wedding+Collection+%7C+Kendra+Scott&fake=506830917401&ref=https%3A%2F%2Fproduction-test-kendrascott.demandware.net%2Fwedding-jewelry.html,image/gif,0,0,65,1,65,66,,,,,0,,
A,SelectTopCategory,1571898143594,463,false
R,SelectCategory.1,1571898149536,248,false,1113,40195,200,https://production-test-kendrascott.demandware.net/s/KendraScott/new-now/trending-now/statement-earrings/,text/html,0,0,243,3,243,246,,,,,0,,
R,SelectCategory.3,1571898149811,137,false,1148,578,200,https://production-test-kendrascott.demandware.net/on/demandware.store/Sites-KendraScott-Site/en_US/ltkActivityTracking-ClearTracker,text/html,0,0,137,0,137,137,,,,,0,,
R,SelectCategory.4,1571898150045,68,false,1617,538,200,https://production-test-kendrascott.demandware.net/on/demandware.store/Sites-KendraScott-Site/en_US/__Analytics-Start?url=https%3A%2F%2Fproduction-test-kendrascott.demandware.net%2Fs%2FKendraScott%2Fnew-now%2Ftrending-now%2Fstatement-earrings%2F&res=1600x1200&cookie=1&cmpn=&java=0&gears=0&fla=0&ag=0&dir=0&pct=0&pdf=0&qt=0&realp=0&tz=US%2FEastern&wma=1&dwac=0.7869769714444649&pcat=new-arrivals&title=Statement+Earrings+%7C+Statement+Jewelry+%7C+Kendra+Scott&fake=512897522884&ref=https%3A%2F%2Fproduction-test-kendrascott.demandware.net%2Fs%2FKendraScott%2Fnew-now%2Ftrending-now%2Fstatement-earrings%2F,image/gif,0,0,67,0,67,67,,,,,0,,
A,SelectCategory,1571898149513,599,false
R,InfiniteScroll.1,1571898156588,202,false,1156,27422,200,https://production-test-kendrascott.demandware.net/s/KendraScott/new-now/trending-now/statement-earrings/?sz=24&start=24&format=page-element,text/html,0,0,175,24,175,199,,,,,0,,
A,InfiniteScroll,1571898156586,255,false
R,QuickView.1,1571898163525,69,false,1200,661,301,https://production-test-kendrascott.demandware.net/s/KendraScott/products/danielle-gld.html?dwvar_danielle-gld_stoneColor=600&cgid=statement-earrings&source=quickview&format=ajax&ind=9,,0,0,67,0,67,67,,,,,0,,
R,QuickView.2,1571898163594,210,false,1231,8057,200,https://production-test-kendrascott.demandware.net/s/KendraScott/new-now/trending-now/statement-earrings/danielle-gld.html?cgid=statement-earrings&format=ajax&dwvar_danielle-gld_stoneColor=600&source=quickview&ind=9,text/html,0,0,210,0,210,210,,,,,0,,
